Name,Season,Injury,From date,Till date,Days missed
Alex Iwobi,18/19,Ankle injury,"Feb 25, 2019","Feb 26, 2019",1 days
Alex Iwobi,18/19,Ill,"Aug 26, 2018","Sep 19, 2018",24 days
Alex Iwobi,16/17,Hamstring strain,"Aug 14, 2016","Sep 10, 2016",27 days
Joao Palhinha,23/24,Acromioclavicular joint dislocation,"Jul 23, 2023","Aug 16, 2023",24 days
Joao Palhinha,21/22,Muscle injury,"Nov 28, 2021","Dec 16, 2021",18 days
Joao Palhinha,20/21,Corona virus,"Sep 24, 2020","Oct 5, 2020",11 days
Joao Palhinha,17/18,influenza,"Feb 24, 2018","Feb 28, 2018",4 days
Issa Diop,23/24,Calf problems,"Mar 2, 2024","Apr 6, 2024",35 days
Issa Diop,23/24,Hamstring injury,"Jan 31, 2024","Feb 9, 2024",9 days
Issa Diop,23/24,Foot injury,"Oct 8, 2023","Dec 15, 2023",68 days
Issa Diop,21/22,Ankle injury,"Apr 18, 2022","May 2, 2022",14 days
Issa Diop,20/21,Head injury,"Feb 11, 2021","Feb 15, 2021",4 days
Issa Diop,20/21,bruise,"Jan 4, 2021","Jan 14, 2021",10 days
Issa Diop,20/21,Corona virus,"Sep 21, 2020","Oct 15, 2020",24 days
Issa Diop,17/18,Back injury,"Jul 13, 2017","Aug 17, 2017",35 days
Issa Diop,16/17,Back problems,"Nov 10, 2016","Dec 22, 2016",42 days
Timothy Castagne,20/21,Fracture of the eye socket,"Jun 13, 2021","Aug 15, 2021",63 days
Timothy Castagne,20/21,Hamstring strain,"Feb 1, 2021","Feb 19, 2021",18 days
Timothy Castagne,20/21,Hamstring strain,"Oct 27, 2020","Dec 19, 2020",53 days
Timothy Castagne,19/20,Knee problems,"Jan 13, 2020","Jan 28, 2020",15 days
Timothy Castagne,19/20,Meniscus injury,"Aug 1, 2019","Sep 15, 2019",45 days
Timothy Castagne,15/16,Shoulder injury,"May 10, 2016","Jun 20, 2016",41 days
Adama Traore,23/24,Hamstring injury,"Nov 20, 2023","Feb 9, 2024",81 days
Adama Traore,23/24,Hamstring injury,"Sep 11, 2023","Nov 11, 2023",61 days
Adama Traore,22/23,Hamstring injury,"Jul 20, 2022","Aug 13, 2022",24 days
Adama Traore,20/21,Hamstring injury,"Jan 9, 2021","Jan 14, 2021",5 days
Adama Traore,20/21,Knock,"Sep 2, 2020","Sep 4, 2020",2 days
Adama Traore,19/20,Shoulder injury,"Mar 2, 2020","Mar 6, 2020",4 days
Adama Traore,19/20,Shoulder injury,"Feb 2, 2020","Feb 13, 2020",11 days
Adama Traore,19/20,Knock,"Jan 17, 2020","Jan 17, 2020",0 days
Adama Traore,19/20,Shoulder injury,"Dec 16, 2019","Dec 20, 2019",4 days
Adama Traore,19/20,Knock,"Nov 11, 2019","Nov 22, 2019",11 days
Adama Traore,18/19,Hamstring injury,"Dec 30, 2018","Jan 1, 2019",2 days
Adama Traore,18/19,Shoulder injury,"Jul 27, 2018","Aug 17, 2018",21 days
Adama Traore,15/16,Metatarsal fracture,"Jan 3, 2016","Apr 3, 2016",91 days
Adama Traore,15/16,Calf injury,"Aug 25, 2015","Sep 19, 2015",25 days
Sasa Lukic,23/24,Calf injury,"May 9, 2024","May 20, 2024",11 days
Sasa Lukic,23/24,Knee injury,"Aug 27, 2023","Oct 1, 2023",35 days
Sasa Lukic,22/23,Hamstring injury,"Jan 15, 2023","Jan 27, 2023",12 days
Sasa Lukic,22/23,Calf problems,"Nov 9, 2022","Nov 21, 2022",12 days
Sasa Lukic,21/22,flu,"Mar 4, 2022","Mar 7, 2022",3 days
Sasa Lukic,20/21,Corona virus,"Nov 21, 2020","Dec 5, 2020",14 days
Sasa Lukic,19/20,bruise,"Dec 6, 2019","Dec 10, 2019",4 days
Sasa Lukic,19/20,Calf problems,"Sep 17, 2019","Sep 27, 2019",10 days
Sasa Lukic,17/18,Torn muscle fiber,"Mar 28, 2018","Apr 11, 2018",14 days
Sasa Lukic,17/18,Muscle injury,"Nov 15, 2017","Dec 6, 2017",21 days
Kenny Tete,23/24,Achilles tendon problems,"Feb 9, 2024","Feb 19, 2024",10 days
Kenny Tete,23/24,Groin problems,"Sep 17, 2023","Nov 11, 2023",55 days
Kenny Tete,22/23,Knock,"Sep 29, 2022","Oct 29, 2022",30 days
Kenny Tete,21/22,Groin injury,"Jan 22, 2022","Feb 17, 2022",26 days
Kenny Tete,21/22,Thigh problems,"Aug 21, 2021","Oct 18, 2021",58 days
Kenny Tete,20/21,Corona virus,"Apr 17, 2021","Apr 27, 2021",10 days
Kenny Tete,20/21,Fitness,"Nov 21, 2020","Dec 27, 2020",36 days
Kenny Tete,20/21,Calf injury,"Sep 20, 2020","Nov 21, 2020",62 days
Kenny Tete,19/20,Knock,"Nov 4, 2019","Nov 20, 2019",16 days
Kenny Tete,18/19,Ankle injury,"May 9, 2019","May 31, 2019",22 days
Kenny Tete,18/19,Hamstring injury,"Mar 21, 2019","Apr 8, 2019",18 days
Kenny Tete,18/19,Groin strain,"Sep 28, 2018","Oct 20, 2018",22 days
Kenny Tete,17/18,Knee injury,"Nov 6, 2017","Nov 18, 2017",12 days
Kenny Tete,17/18,Knee problems,"Aug 28, 2017","Sep 1, 2017",4 days
Kenny Tete,16/17,Ill,"Apr 15, 2017","Apr 17, 2017",2 days
Andreas Pereira,22/23,Ankle injury,"Apr 30, 2023","May 29, 2023",29 days
Andreas Pereira,20/21,Fever,"Feb 20, 2021","Feb 22, 2021",2 days
Andreas Pereira,20/21,Fever,"Oct 14, 2020","Oct 24, 2020",10 days
Andreas Pereira,17/18,Muscle injury,"May 10, 2018","May 31, 2018",21 days
Andreas Pereira,17/18,Achilles tendon problems,"Feb 2, 2018","Mar 16, 2018",42 days
Antonee Robinson,23/24,muscular problems,"Sep 10, 2023","Sep 22, 2023",12 days
Antonee Robinson,22/23,Ankle injury,"Sep 3, 2022","Oct 3, 2022",30 days
Antonee Robinson,21/22,Rest,"Apr 1, 2022","Apr 3, 2022",2 days
Antonee Robinson,21/22,Ill,"Feb 26, 2022","Mar 2, 2022",4 days
Antonee Robinson,21/22,Ill,"Dec 1, 2021","Dec 5, 2021",4 days
Antonee Robinson,21/22,Knee problems,"Sep 28, 2021","Oct 2, 2021",4 days
Antonee Robinson,20/21,Ankle injury,"May 14, 2021","May 24, 2021",10 days
Antonee Robinson,19/20,Groin injury,"Jan 31, 2020","Apr 13, 2020",73 days
Antonee Robinson,18/19,ankle sprain,"Nov 14, 2018","Mar 5, 2019",111 days
Calvin Bassey,23/24,cold,"Dec 15, 2023","Dec 18, 2023",3 days
Calvin Bassey,20/21,Quarantine,"Feb 14, 2021","Feb 23, 2021",9 days
Harry Wilson,23/24,Shoulder injury,"Jan 27, 2024","Feb 9, 2024",13 days
Harry Wilson,22/23,Knee injury,"Jul 30, 2022","Oct 6, 2022",68 days
Harry Wilson,21/22,Ill,"Jan 21, 2022","Jan 24, 2022",3 days
Harry Wilson,21/22,Head injury,"Sep 8, 2021","Sep 15, 2021",7 days
Harry Wilson,20/21,Muscle injury,"Oct 25, 2020","Nov 1, 2020",7 days
Harry Wilson,19/20,Muscle strain,"Dec 5, 2019","Dec 25, 2019",20 days
Harry Wilson,18/19,Hip injury,"Jan 1, 2019","Jan 12, 2019",11 days
Harry Wilson,18/19,Groin injury,"Aug 11, 2018","Sep 16, 2018",36 days
Tom Cairney,23/24,Knee injury,"Sep 3, 2023","Sep 15, 2023",12 days
Tom Cairney,23/24,Knee injury,"Aug 30, 2023","Sep 1, 2023",2 days
Tom Cairney,23/24,Thigh problems,"Jul 30, 2023","Aug 11, 2023",12 days
Tom Cairney,22/23,Ankle injury,"Feb 8, 2023","Mar 18, 2023",38 days
Tom Cairney,21/22,Knock,"Apr 5, 2022","Apr 11, 2022",6 days
Tom Cairney,21/22,Ill,"Feb 22, 2022","Mar 6, 2022",12 days
Tom Cairney,21/22,Ill,"Nov 23, 2021","Nov 29, 2021",6 days
Tom Cairney,20/21,Knee injury,"Dec 27, 2020","Oct 11, 2021",288 days
Tom Cairney,19/20,bruise,"Jul 6, 2020","Jul 17, 2020",11 days
Tom Cairney,19/20,Calf problems,"Dec 29, 2019","Jan 15, 2020",17 days
Tom Cairney,19/20,Ill,"Dec 9, 2019","Dec 11, 2019",2 days
Tom Cairney,19/20,Ill,"Nov 5, 2019","Nov 11, 2019",6 days
Tom Cairney,18/19,Foot injury,"Sep 30, 2018","Oct 27, 2018",27 days
Tom Cairney,18/19,Foot injury,"Aug 26, 2018","Sep 29, 2018",34 days
Tom Cairney,17/18,Knee problems,"Jan 24, 2018","Feb 5, 2018",12 days
Tim Ream,23/24,Calf injury,"Dec 6, 2023","Jan 9, 2024",34 days
Tim Ream,22/23,Broken arm,"Apr 30, 2023","May 29, 2023",29 days
Tim Ream,21/22,Back injury,"Aug 21, 2021","Aug 28, 2021",7 days
Tim Ream,18/19,Back injury,"Aug 4, 2018","Sep 24, 2018",51 days
Tim Ream,17/18,unknown injury,"Nov 21, 2017","Dec 3, 2017",12 days
Harrison Reed,21/22,Muscle injury,"Dec 10, 2021","Dec 18, 2021",8 days
Harrison Reed,21/22,Calf injury,"Oct 20, 2021","Oct 24, 2021",4 days
Harrison Reed,21/22,Knock,"Sep 15, 2021","Sep 20, 2021",5 days
Harrison Reed,21/22,Knock,"Sep 15, 2021","Sep 18, 2021",3 days
Harrison Reed,21/22,Knock,"Aug 7, 2021","Aug 28, 2021",21 days
Harrison Reed,20/21,Ankle injury,"May 18, 2021","May 23, 2021",5 days
Harrison Reed,20/21,Knee problems,"Apr 19, 2021","May 12, 2021",23 days
Harrison Reed,20/21,Knock,"Sep 27, 2020","Oct 23, 2020",26 days
Harrison Reed,19/20,Fitness,"Mar 2, 2020","Mar 14, 2020",12 days
Harrison Reed,19/20,Calf injury,"Jan 9, 2020","Mar 1, 2020",52 days
Harrison Reed,19/20,Calf problems,"Jan 1, 2020","Jan 8, 2020",7 days
Harrison Reed,19/20,Calf injury,"Nov 22, 2019","Dec 16, 2019",24 days
Steven Benda,22/23,Cruciate ligament tear,"Jan 21, 2023","Oct 23, 2023",275 days
Steven Benda,20/21,Ankle injury,"Jan 4, 2021","Apr 10, 2021",96 days
Rodrigo Muniz,23/24,Knee injury,"Nov 5, 2023","Dec 9, 2023",34 days
Rodrigo Muniz,21/22,Calf problems,"Feb 18, 2022","Feb 26, 2022",8 days
Axel Tuanzebe,22/23,unknown injury,"Jul 13, 2022","Jan 23, 2023",194 days
Axel Tuanzebe,21/22,Lumbago,"Feb 3, 2022","Mar 14, 2022",39 days
Axel Tuanzebe,20/21,Ankle injury,"Jun 18, 2020","Oct 19, 2020",123 days
Axel Tuanzebe,19/20,Hamstring strain,"Dec 18, 2019","Mar 5, 2020",78 days
Axel Tuanzebe,19/20,Hip injury,"Oct 19, 2019","Nov 23, 2019",35 days
Axel Tuanzebe,18/19,Metatarsal fracture,"Dec 22, 2018","Mar 29, 2019",97 days
George Hirst,23/24,Torn muscle fiber,"Dec 27, 2023","Apr 23, 2024",118 days
George Hirst,18/19,Inner ligament stretch of the knee,"Sep 17, 2018","Oct 3, 2018",16 days
Christian Walton,23/24,Inflammation of the sole of the foot,"Jul 26, 2023","Sep 25, 2023",61 days
Christian Walton,20/21,Ankle injury,"Aug 31, 2020","Nov 5, 2020",66 days
Christian Walton,17/18,Ankle surgery,"Aug 31, 2017","Nov 10, 2017",71 days
Harry Clarke,22/23,unknown injury,"Aug 10, 2022","Sep 18, 2022",39 days
Harry Clarke,21/22,Hamstring injury,"Jan 15, 2022","Mar 28, 2022",72 days
Jamie Vardy,23/24,Knee injury,"Dec 9, 2023","Jan 22, 2024",44 days
Jamie Vardy,21/22,Knee injury,"Mar 7, 2022","Apr 25, 2022",49 days
Jamie Vardy,21/22,Hamstring injury,"Dec 27, 2021","Feb 24, 2022",59 days
Jamie Vardy,20/21,Groin surgery,"Jan 21, 2021","Feb 4, 2021",14 days
Jamie Vardy,20/21,Groin injury,"Jan 4, 2021","Jan 14, 2021",10 days
Jamie Vardy,20/21,Calf strain,"Oct 19, 2020","Oct 22, 2020",3 days
Jamie Vardy,19/20,Strain in the thigh and gluteal muscles,"Jan 23, 2020","Jan 30, 2020",7 days
Jamie Vardy,19/20,Muscle injury,"Dec 30, 2019","Jan 6, 2020",7 days
Jamie Vardy,18/19,Head injury,"Mar 4, 2019","Mar 7, 2019",3 days
Jamie Vardy,18/19,Groin injury,"Dec 17, 2018","Dec 20, 2018",3 days
Jamie Vardy,18/19,Groin strain,"Dec 3, 2018","Dec 13, 2018",10 days
Jamie Vardy,18/19,Groin strain,"Nov 12, 2018","Nov 22, 2018",10 days
Jamie Vardy,18/19,Ill,"Oct 22, 2018","Oct 25, 2018",3 days
Jamie Vardy,15/16,Groin injury,"Jan 4, 2016","Jan 14, 2016",10 days
Jamie Vardy,15/16,minor knock,"Nov 9, 2015","Nov 19, 2015",10 days
Harry Winks,22/23,Ankle injury,"Sep 2, 2022","Jan 6, 2023",126 days
Harry Winks,20/21,Knock,"Nov 19, 2020","Nov 25, 2020",6 days
Harry Winks,19/20,Ankle injury,"Dec 6, 2019","Dec 14, 2019",8 days
Harry Winks,18/19,Groin surgery,"Apr 13, 2019","May 31, 2019",48 days
Harry Winks,18/19,Groin injury,"Mar 1, 2019","Apr 3, 2019",33 days
Harry Winks,17/18,Ankle injury,"Mar 20, 2018","Aug 17, 2018",150 days
Harry Winks,17/18,Ankle injury,"Jan 5, 2018","Feb 3, 2018",29 days
Harry Winks,17/18,Ill,"Nov 25, 2017","Nov 29, 2017",4 days
Harry Winks,17/18,Ankle injury,"Nov 6, 2017","Nov 13, 2017",7 days
Harry Winks,16/17,Ankle injury,"Apr 3, 2017","Jun 1, 2017",59 days
Kelechi Iheanacho,19/20,Head injury,"Feb 23, 2020","Feb 27, 2020",4 days
Kelechi Iheanacho,17/18,Broken finger,"Mar 25, 2018","Mar 29, 2018",4 days
Kelechi Iheanacho,15/16,Hip bruise,"Sep 19, 2015","Sep 28, 2015",9 days
Ricardo Pereira,22/23,Achilles tendon rupture,"Aug 5, 2022","Feb 5, 2023",184 days
Ricardo Pereira,21/22,Hamstring injury,"Nov 19, 2021","Dec 11, 2021",22 days
Ricardo Pereira,19/20,Cruciate ligament tear,"Mar 11, 2020","Jan 15, 2021",310 days
Ricardo Pereira,17/18,Hamstring strain,"Feb 15, 2018","Mar 1, 2018",14 days
Ricardo Pereira,17/18,Muscle injury,"Sep 23, 2017","Oct 10, 2017",17 days
Ricardo Pereira,15/16,Thigh problems,"Jan 11, 2016","Jan 25, 2016",14 days
Ricardo Pereira,15/16,Hamstring injury,"Dec 3, 2015","Dec 29, 2015",26 days
Patson Daka,20/21,Hamstring injury,"Oct 28, 2020","Nov 30, 2020",33 days
Patson Daka,18/19,Adductor injury,"Sep 14, 2018","Oct 6, 2018",22 days
Patson Daka,17/18,Ankle injury,"Sep 27, 2017","Sep 30, 2017",3 days
Wilfred Ndidi,23/24,unknown injury,"Dec 29, 2023","Mar 3, 2024",65 days
Wilfred Ndidi,21/22,Knee injury,"Mar 17, 2022","May 30, 2022",74 days
Wilfred Ndidi,20/21,Hamstring strain,"Jan 28, 2021","Feb 8, 2021",11 days
Wilfred Ndidi,20/21,Adductor injury,"Sep 21, 2020","Dec 3, 2020",73 days
Wilfred Ndidi,19/20,Knee problems,"Jan 30, 2020","Feb 27, 2020",28 days
Wilfred Ndidi,19/20,Knee injury,"Jan 9, 2020","Jan 20, 2020",11 days
Wilfred Ndidi,19/20,Hamstring injury,"Aug 26, 2019","Aug 29, 2019",3 days
Wilfred Ndidi,18/19,Knee injury,"Dec 17, 2018","Dec 20, 2018",3 days
Wilfred Ndidi,17/18,Hamstring injury,"Apr 30, 2018","May 31, 2018",31 days
Dennis Praet,22/23,unknown injury,"Dec 26, 2022","Jan 11, 2023",16 days
Dennis Praet,21/22,Foot surgery,"Feb 12, 2022","Apr 19, 2022",66 days
Dennis Praet,21/22,Ankle problems,"Jan 10, 2022","Jan 15, 2022",5 days
Dennis Praet,21/22,muscular problems,"Dec 19, 2021","Dec 22, 2021",3 days
Dennis Praet,21/22,Bone edema,"Nov 17, 2021","Nov 24, 2021",7 days
Dennis Praet,21/22,Hamstring muscle injury,"Sep 17, 2021","Oct 18, 2021",31 days
Dennis Praet,20/21,Hamstring injury,"Jan 10, 2021","Mar 16, 2021",65 days
Dennis Praet,20/21,Knee injury,"Sep 28, 2020","Oct 18, 2020",20 days
Dennis Praet,19/20,Calf injury,"Jun 18, 2020","Jun 22, 2020",4 days
Dennis Praet,18/19,Knee injury,"Aug 18, 2018","Sep 18, 2018",31 days
Dennis Praet,17/18,Hamstring muscle injury,"Jan 25, 2018","Feb 22, 2018",28 days
Dennis Praet,17/18,Ankle sprain,"Nov 19, 2017","Nov 25, 2017",6 days
Dennis Praet,15/16,Muscle tear,"Nov 1, 2015","Dec 1, 2015",30 days
Dennis Praet,14/15,Back injury,"Jan 15, 2015","Mar 15, 2015",59 days
Dennis Praet,14/15,unknown injury,"Sep 17, 2014","Sep 29, 2014",12 days
Jannik Vestergaard,20/21,Knee injury,"Dec 20, 2020","Feb 5, 2021",47 days
Jannik Vestergaard,19/20,Knock,"Jun 29, 2020","Jul 11, 2020",12 days
Jannik Vestergaard,19/20,Head injury,"Jan 23, 2020","Jan 31, 2020",8 days
Jannik Vestergaard,19/20,Ill,"Nov 26, 2019","Dec 7, 2019",11 days
Jannik Vestergaard,18/19,Groin strain,"Apr 14, 2019","May 31, 2019",47 days
Jannik Vestergaard,18/19,Groin problems,"Mar 30, 2019","Apr 5, 2019",6 days
Jannik Vestergaard,18/19,Ill,"Aug 13, 2018","Aug 24, 2018",11 days
Jannik Vestergaard,17/18,Ankle injury,"Mar 10, 2018","Apr 4, 2018",25 days
Jannik Vestergaard,17/18,Ill,"Nov 30, 2017","Nov 30, 2017",0 days
Jannik Vestergaard,15/16,cold,"Oct 15, 2015","Oct 19, 2015",4 days
Jannik Vestergaard,14/15,Knee problems,"Apr 20, 2015","May 4, 2015",14 days
Jannik Vestergaard,14/15,cold,"Apr 6, 2015","Apr 9, 2015",3 days
Jannik Vestergaard,Dec-13,Outer ligament tear,"Nov 8, 2012","Dec 31, 2012",53 days
Hamza Choudhury,22/23,Ill,"Apr 21, 2023","Apr 25, 2023",4 days
Hamza Choudhury,22/23,Knee injury,"Dec 11, 2022","Jan 8, 2023",28 days
Marc Albrighton,19/20,Knock,"Jul 13, 2020","Jul 25, 2020",12 days
Marc Albrighton,18/19,Hamstring injury,"Feb 1, 2019","Apr 12, 2019",70 days
Marc Albrighton,13/14,Groin problems,"May 4, 2014","May 13, 2014",9 days
Marc Albrighton,Dec-13,Foot injury,"Jan 5, 2013","Mar 31, 2013",85 days
Marc Albrighton,Dec-13,Metatarsal fracture,"Jul 13, 2012","Sep 24, 2012",73 days
Harry Souttar,21/22,Cruciate ligament tear,"Nov 15, 2021","Oct 20, 2022",339 days
Danny Ward,21/22,Knee surgery,"Mar 10, 2022","Apr 25, 2022",46 days
Danny Ward,18/19,Knock,"Oct 18, 2018","Oct 22, 2018",4 days
Danny Ward,17/18,Back injury,"Oct 19, 2017","Jan 4, 2018",77 days
James Justin,22/23,Achilles tendon rupture,"Nov 8, 2022","May 31, 2023",204 days
James Justin,20/21,Cruciate ligament tear,"Feb 10, 2021","Jan 7, 2022",331 days
Kiernan Dewsbury-Hall,21/22,Calf injury,"Apr 29, 2022","May 3, 2022",4 days
Mads Hermansen,22/23,Tendon tear,"Aug 18, 2022","Sep 16, 2022",29 days
Mads Hermansen,21/22,Foot injury,"Oct 10, 2021","Nov 1, 2021",22 days
Stephy Mavididi,22/23,Thigh problems,"Feb 6, 2023","Feb 23, 2023",17 days
Stephy Mavididi,22/23,Thigh problems,"Aug 7, 2022","Sep 19, 2022",43 days
Stephy Mavididi,21/22,Knee injury,"Feb 3, 2022","Mar 14, 2022",39 days
Stephy Mavididi,17/18,Hamstring injury,"Feb 3, 2018","Mar 29, 2018",54 days
Stephy Mavididi,16/17,Torn thigh muscle,"Feb 25, 2017","May 25, 2017",89 days
Kasey McAteer,23/24,unknown injury,"Mar 1, 2024","Apr 13, 2024",43 days
Kasey McAteer,23/24,unknown injury,"Oct 1, 2023","Oct 27, 2023",26 days
Mohamed Salah,23/24,muscular problems,"Feb 19, 2024","Mar 4, 2024",14 days
Mohamed Salah,23/24,Hamstring muscle injury,"Jan 19, 2024","Feb 13, 2024",25 days
Mohamed Salah,20/21,Corona virus,"Nov 13, 2020","Nov 24, 2020",11 days
Mohamed Salah,19/20,Ankle injury,"Nov 11, 2019","Nov 22, 2019",11 days
Mohamed Salah,19/20,Ankle problems,"Oct 6, 2019","Oct 22, 2019",16 days
Mohamed Salah,18/19,concussion,"May 5, 2019","May 11, 2019",6 days
Mohamed Salah,18/19,Thigh problems,"Oct 13, 2018","Oct 18, 2018",5 days
Mohamed Salah,17/18,Shoulder injury,"May 27, 2018","Jun 14, 2018",18 days
Mohamed Salah,16/17,Torn lateral ankle ligament,"Dec 1, 2016","Dec 15, 2016",14 days
Mohamed Salah,15/16,Torn lateral ankle ligament,"Nov 9, 2015","Dec 7, 2015",28 days
Mohamed Salah,14/15,Thigh problems,"May 25, 2015","Jun 1, 2015",7 days
Mohamed Salah,Dec-13,Shoulder injury,"Jul 5, 2012","Jul 26, 2012",21 days
Virgil Van Dijk,23/24,Ill,"Jan 6, 2024","Jan 9, 2024",3 days
Virgil Van Dijk,22/23,Hamstring injury,"Jan 2, 2023","Feb 12, 2023",41 days
Virgil Van Dijk,21/22,Rest,"Jun 6, 2022","Jun 16, 2022",10 days
Virgil Van Dijk,21/22,Knee problems,"May 16, 2022","May 19, 2022",3 days
Virgil Van Dijk,21/22,Corona virus,"Dec 16, 2021","Dec 27, 2021",11 days
Virgil Van Dijk,20/21,Cruciate ligament tear,"Oct 19, 2020","Jun 30, 2021",254 days
Virgil Van Dijk,19/20,Ill,"Dec 16, 2019","Dec 19, 2019",3 days
Virgil Van Dijk,18/19,Ankle injury,"Apr 1, 2019","Apr 4, 2019",3 days
Virgil Van Dijk,18/19,Ill,"Jan 21, 2019","Jan 28, 2019",7 days
Virgil Van Dijk,18/19,Ill,"Jan 3, 2019","Jan 10, 2019",7 days
Virgil Van Dijk,18/19,Rib fracture,"Oct 15, 2018","Oct 18, 2018",3 days
Virgil Van Dijk,18/19,Knock,"Sep 24, 2018","Sep 27, 2018",3 days
Virgil Van Dijk,17/18,Thigh problems,"Dec 21, 2017","Jan 15, 2018",25 days
Virgil Van Dijk,16/17,Ankle injury,"Jan 26, 2017","Sep 14, 2017",231 days
Virgil Van Dijk,14/15,Knock,"May 14, 2015","May 18, 2015",4 days
Trent Alexander-Arnold,23/24,Torn lateral knee ligament,"Feb 13, 2024","Apr 8, 2024",55 days
Trent Alexander-Arnold,23/24,Torn lateral knee ligament,"Jan 8, 2024","Jan 28, 2024",20 days
Trent Alexander-Arnold,23/24,Hamstring injury,"Sep 4, 2023","Sep 29, 2023",25 days
Trent Alexander-Arnold,22/23,Ankle problems,"Oct 10, 2022","Oct 15, 2022",5 days
Trent Alexander-Arnold,21/22,Hamstring injury,"Mar 17, 2022","Mar 31, 2022",14 days
Trent Alexander-Arnold,21/22,Corona virus,"Jan 3, 2022","Jan 13, 2022",10 days
Trent Alexander-Arnold,21/22,muscular problems,"Sep 27, 2021","Oct 14, 2021",17 days
Trent Alexander-Arnold,21/22,Hamstring injury,"Jun 3, 2021","Jul 12, 2021",39 days
Trent Alexander-Arnold,20/21,Calf injury,"Nov 9, 2020","Dec 7, 2020",28 days
Trent Alexander-Arnold,19/20,Ill,"Oct 21, 2019","Oct 28, 2019",7 days
Trent Alexander-Arnold,18/19,Back problems,"Mar 18, 2019","Apr 1, 2019",14 days
Trent Alexander-Arnold,18/19,Knee injury,"Jan 10, 2019","Feb 11, 2019",32 days
Trent Alexander-Arnold,18/19,Foot injury,"Dec 10, 2018","Dec 27, 2018",17 days
Alisson Becker,23/24,Hamstring injury,"Feb 16, 2024","Apr 12, 2024",56 days
Alisson Becker,23/24,Virus,"Feb 8, 2024","Feb 12, 2024",4 days
Alisson Becker,23/24,muscular problems,"Nov 26, 2023","Dec 8, 2023",12 days
Alisson Becker,21/22,Corona virus,"Jan 1, 2022","Jan 8, 2022",7 days
Alisson Becker,20/21,Ill,"Feb 1, 2021","Feb 5, 2021",4 days
Alisson Becker,20/21,Hip injury,"Nov 29, 2020","Dec 12, 2020",13 days
Alisson Becker,20/21,Shoulder injury,"Oct 3, 2020","Oct 23, 2020",20 days
Alisson Becker,20/21,Ill,"Sep 21, 2020","Sep 27, 2020",6 days
Alisson Becker,19/20,Hip injury,"Mar 1, 2020","May 20, 2020",80 days
Alisson Becker,19/20,Calf injury,"Aug 10, 2019","Oct 16, 2019",67 days
Alisson Becker,17/18,muscular problems,"May 18, 2018","May 22, 2018",4 days
Alisson Becker,14/15,Muscle injury,"Jun 29, 2015","Jul 14, 2015",15 days
Alexis Mac Allister,23/24,Knee injury,"Dec 7, 2023","Dec 29, 2023",22 days
Alexis Mac Allister,20/21,Back injury,"Feb 2, 2021","Feb 5, 2021",3 days
Alexis Mac Allister,20/21,Virus,"Nov 7, 2020","Dec 12, 2020",35 days
Diogo Jota,23/24,Knee collateral ligament tear,"Feb 18, 2024","Apr 9, 2024",51 days
Diogo Jota,23/24,Muscle injury,"Nov 26, 2023","Dec 24, 2023",28 days
Diogo Jota,22/23,Calf injury,"Oct 17, 2022","Feb 10, 2023",116 days
Diogo Jota,22/23,Hamstring injury,"Aug 1, 2022","Sep 1, 2022",31 days
Diogo Jota,21/22,Ankle injury,"Feb 14, 2022","Feb 28, 2022",14 days
Diogo Jota,20/21,Foot injury,"May 13, 2021","May 24, 2021",11 days
Diogo Jota,20/21,Knee bruise,"Dec 7, 2020","Mar 1, 2021",84 days
Diogo Jota,19/20,Calf injury,"Jan 2, 2020","Jan 23, 2020",21 days
Diogo Jota,19/20,Ankle injury,"Sep 23, 2019","Oct 21, 2019",28 days
Diogo Jota,18/19,bruise,"Jan 31, 2019","Feb 25, 2019",25 days
Diogo Jota,18/19,Hamstring injury,"Dec 13, 2018","Jan 14, 2019",32 days
Diogo Jota,18/19,bruise,"Oct 29, 2018","Nov 12, 2018",14 days
Diogo Jota,16/17,Ankle injury,"Aug 18, 2016","Sep 5, 2016",18 days
Diogo Jota,15/16,Shoulder injury,"May 5, 2016","May 19, 2016",14 days
Darwin Nunez,23/24,muscular problems,"Mar 20, 2024","Mar 28, 2024",8 days
Darwin Nunez,23/24,muscle stiffness,"Feb 17, 2024","Feb 29, 2024",12 days
Darwin Nunez,22/23,Toe injury,"May 12, 2023","May 29, 2023",17 days
Darwin Nunez,22/23,Ankle injury,"Mar 16, 2023","Mar 30, 2023",14 days
Darwin Nunez,22/23,Shoulder injury,"Feb 22, 2023","Feb 27, 2023",5 days
Darwin Nunez,22/23,Shoulder injury,"Feb 18, 2023","Feb 20, 2023",2 days
Darwin Nunez,22/23,Dead leg,"Jan 12, 2023","Jan 19, 2023",7 days
Darwin Nunez,22/23,muscular problems,"Oct 20, 2022","Oct 24, 2022",4 days
Darwin Nunez,21/22,Knock,"Jun 10, 2022","Jun 14, 2022",4 days
Darwin Nunez,21/22,Foot injury,"Dec 24, 2021","Jan 6, 2022",13 days
Darwin Nunez,21/22,Knee injury,"Nov 8, 2021","Nov 16, 2021",8 days
Darwin Nunez,20/21,Knee surgery,"May 24, 2021","Aug 21, 2021",89 days
Darwin Nunez,20/21,unknown injury,"Apr 27, 2021","May 4, 2021",7 days
Darwin Nunez,20/21,Hamstring injury,"Feb 28, 2021","Mar 11, 2021",11 days
Darwin Nunez,20/21,Rest,"Jan 11, 2021","Jan 13, 2021",2 days
