possession_team,player,position,location,distance_to_goal,angle_to_goal,shot_speed,play_pattern,minute,shot_body_part,shot_one_on_one,shot_first_time,shot_outcome,goalkeeper_location,goalkeeper_distance,defensive_pressure,statsbomb_xg,AJS_xg
Australia Women's,Alexandra Chidiac,Midfielder,"[109.0, 28.5]",16.13196,18.06619,75.75966,From Corner,90,Foot,False,True,Wayward,"[114.0, 36.0]",9.01388,0,0.034636013,0.053841
Australia Women's,Emily Louise van Egmond,Forward,"[103.5, 39.4]",16.52453,24.94497,159.58637,From Corner,90,Foot,False,True,Blocked,"[116.2, 39.4]",12.7,1,0.061853345,0.005771
Nigeria Women's,Asisat Lamina Oshoala,Forward,"[102.8, 27.7]",21.32135,15.92686,122.53086,From Goal Kick,90,Foot,False,False,Blocked,"[117.9, 36.8]",17.63009,2,0.04324691,0.004769
Australia Women's,Alexandra Chidiac,Midfielder,"[114.3, 52.0]",13.01461,14.97536,32.69855,Regular Play,91,Foot,True,False,Off T,"[118.8, 43.9]",9.26607,1,0.075503685,0.007809
Australia Women's,Caitlin Jade Foord,Midfielder,"[117.1, 35.1]",5.95399,43.90617,5.41955,Regular Play,94,Head,True,False,Saved,"[118.9, 37.8]",3.245,1,0.28898302,0.0578844
Australia Women's,Alanna Stephanie Kennedy,Forward,"[115.8, 43.2]",5.10392,67.62766,6.03913,From Corner,99,Head,False,False,Goal,"[117.3, 42.0]",1.92094,6,0.12908389,0.4678016
Australia Women's,Ellie Madison Carpenter,Defender,"[112.6, 53.1]",14.78513,14.78712,22.08328,From Free Kick,100,Foot,False,True,Saved,"[118.8, 43.8]",11.17721,1,0.040728178,0.0738908
Nigeria Women's,Asisat Lamina Oshoala,Forward,"[82.5, 49.0]",38.49597,10.58754,19.86516,From Keeper,101,Foot,False,False,Saved,"[117.7, 42.2]",35.8508,0,0.007632456,0.0559799
Australia Women's,Clare Hunt,Defender,"[113.8, 48.3]",10.12126,27.00695,12.55758,From Corner,16,Head,False,False,Off T,"[118.7, 41.8]",8.14002,2,0.048743114,0.1532313
Australia Women's,Hayley Emma Raso,Forward,"[112.3, 36.8]",8.45813,44.10923,13.36795,From Corner,27,Head,False,False,Off T,"[119.1, 39.0]",7.14703,4,0.07660268,0.0511191
Republic of Ireland Women's,Kyra Carusa,Forward,"[109.3, 38.8]",10.80463,37.15823,5.45622,From Throw In,30,Head,False,False,Off T,"[118.7, 40.0]",9.47629,4,0.047226228,0.0125893
Australia Women's,Caitlin Jade Foord,Forward,"[97.7, 31.4]",24.01041,16.16613,100.5078,Regular Play,34,Foot,False,False,Blocked,"[118.1, 38.6]",21.63331,3,0.04059366,0.0043234
Australia Women's,Caitlin Jade Foord,Forward,"[109.8, 23.7]",19.48333,11.52387,27.7485,From Counter,35,Foot,False,True,Off T,"[118.8, 36.3]",15.48419,4,0.030599127,0.0087639
Australia Women's,Katrina Gorry,Midfielder,"[87.5, 23.6]",36.53957,10.20339,25.96125,From Throw In,50,Foot,False,False,Saved,"[119.0, 37.5]",34.43051,1,0.006808077,0.0105881
Australia Women's,Stephanie-Elise Catley,Defender,"[108.1, 40.1]",11.90168,34.18362,20.65819,Penalty,51,Foot,False,False,Goal,"[120, 40.3]",11.90168,0,0.7835,0.909504
Republic of Ireland Women's,Mary Boio Fowler,Midfielder,"[101.1, 38.1]",19.02761,21.64345,29.51472,From Kick Off,52,Foot,False,False,Off T,"[118.3, 40.3]",17.34013,2,0.09326923,0.0112821
Australia Women's,Katrina Gorry,Midfielder,"[94.6, 31.8]",26.78451,14.79387,27.76771,From Throw In,60,Foot,False,True,Off T,"[118.6, 40.1]",25.39468,1,0.029687718,0.008153
England Women's,Georgia Stanway,Midfielder,"[111.1, 30.9]",12.94488,22.907,43.44226,From Free Kick,8,Foot,False,True,Saved,"[116.9, 36.5]",8.06226,1,0.12825653,0.011311
Australia Women's,Katrina Gorry,Midfielder,"[96.6, 48.3]",24.72974,15.97939,80.39421,Regular Play,67,Foot,False,False,Blocked,"[117.9, 41.7]",22.2991,2,0.03291934,0.002403
England Women's,Georgia Stanway,Midfielder,"[113.3, 34.1]",9.12853,35.04143,79.44553,From Corner,9,Head,False,False,Blocked,"[119.2, 39.5]",7.99812,4,0.058608204,0.041088
Australia Women's,Caitlin Jade Foord,Forward,"[115.4, 47.9]",8.88369,27.19795,15.39349,From Corner,67,Head,False,False,Off T,"[119.2, 40.6]",8.22982,2,0.079736166,0.0477895
England Women's,Alessia Russo,Forward,"[112.3, 37.3]",8.26378,45.75677,15.38544,From Corner,9,Head,False,False,Blocked,"[119.3, 39.1]",7.22772,4,0.102189004,0.0293986
Republic of Ireland Women's,Denise O'Sullivan,Midfielder,"[104.2, 51.6]",19.42498,17.62992,13.91506,From Corner,73,Foot,False,True,Off T,"[118.5, 42.4]",17.00382,2,0.032591287,0.0686067
England Women's,Lauren Hemp,Forward,"[107.9, 29.8]",16.02061,20.00645,54.69839,From Corner,9,Foot,False,True,Blocked,"[118.5, 38.0]",13.40149,5,0.04496551,0.0086772
Republic of Ireland Women's,Kyra Carusa,Forward,"[110.8, 32.1]",12.32396,25.93333,87.60092,From Throw In,76,Foot,False,False,Blocked,"[118.3, 37.5]",9.24175,6,0.09941099,0.0038321
England Women's,Rachel Daly,Defender,"[112.0, 38.1]",8.29699,46.56543,7.56434,From Corner,12,Head,False,False,Off T,"[119.7, 40.2]",7.98123,7,0.09467368,0.0750503
Republic of Ireland Women's,Heather Payne,Defender,"[106.4, 46.7]",15.03064,25.09962,18.48455,From Throw In,76,Foot,False,True,Wayward,"[118.5, 40.5]",13.59596,1,0.18582885,0.1018093
England Women's,Alessia Russo,Forward,"[109.6, 59.3]",21.6601,9.48278,28.46874,From Goal Kick,16,Foot,True,False,Off T,"[118.2, 44.6]",17.03085,1,0.009647812,0.0361307
Australia Women's,Katrina Gorry,Midfielder,"[106.0, 38.9]",14.06983,29.04137,112.04681,From Free Kick,81,Foot,False,True,Blocked,"[119.0, 41.8]",13.31953,2,0.12356907,0.0021332
Australia Women's,Clare Elizabeth Polkinghorne,Defender,"[112.7, 38.8]",7.45252,51.73753,273.19623,From Corner,28,Head,False,False,Blocked,"[119.6, 38.8]",6.9,5,0.086947605,0.021747
Australia Women's,Caitlin Jade Foord,Forward,"[105.6, 43.5]",14.75127,27.30227,138.82503,From Free Kick,81,Foot,False,False,Blocked,"[118.8, 41.6]",13.33604,2,0.06128085,0.002871
Australia Women's,Hayley Emma Raso,Midfielder,"[114.8, 28.9]",12.52996,14.84552,40.06779,From Corner,28,Foot,False,False,Blocked,"[118.5, 36.2]",8.18413,1,0.05833244,0.0426033
Australia Women's,Kyra Lillee Cooney-Cross,Forward,"[103.8, 28.8]",19.86681,17.27589,440.76964,From Free Kick,81,Foot,False,False,Blocked,"[118.6, 38.2]",17.53283,3,0.034692235,0.0016549
England Women's,Ella Toone,Midfielder,"[107.8, 26.7]",18.27019,15.57436,17.74124,From Throw In,35,Foot,False,True,Goal,"[117.8, 37.2]",14.5,2,0.07485417,0.0494614
Republic of Ireland Women's,Abbie Larkin,Forward,"[94.5, 42.5]",25.59473,16.21898,22.43273,From Corner,83,Foot,False,True,Wayward,"[118.6, 40.0]",24.22932,1,0.029872663,0.0381238
Australia Women's,Katrina Gorry,Midfielder,"[93.7, 42.7]",26.40928,15.71839,21.49793,From Throw In,37,Foot,False,False,Saved,"[119.2, 40.9]",25.56345,2,0.02999718,0.1071871
Republic of Ireland Women's,Megan Connolly,Defender,"[100.1, 28.5]",23.13547,15.5963,53.67311,From Free Kick,90,Foot,False,False,Blocked,"[119.4, 40.1]",22.51777,0,0.07817411,0.0011994
Australia Women's,Mary Boio Fowler,Forward,"[107.8, 41.2]",12.23315,33.24168,20.63284,From Corner,44,Head,False,False,Blocked,"[119.6, 40.1]",11.85116,3,0.032347504,0.082001
Republic of Ireland Women's,Abbie Larkin,Defender,"[102.8, 53.6]",21.74235,15.32835,16.6226,From Free Kick,92,Foot,False,True,Off T,"[118.6, 41.8]",19.72004,2,0.027063703,0.0093998
Australia Women's,Samantha May Kerr,Forward,"[111.2, 34.5]",10.53945,33.40205,111.14163,Regular Play,46,Head,False,False,Blocked,"[119.3, 38.7]",9.12414,2,0.06493129,0.0076597
Republic of Ireland Women's,Katie McCabe,Forward,"[108.7, 44.1]",11.92183,32.72205,19.41138,Regular Play,96,Foot,False,False,Saved,"[118.2, 41.8]",9.77446,3,0.105796576,0.0800723
England Women's,Lauren Hemp,Forward,"[95.2, 53.7]",28.18865,13.08219,24.89185,Regular Play,56,Foot,False,False,Saved,"[117.5, 42.6]",24.90984,3,0.01487866,0.0156183
Republic of Ireland Women's,Louise Quinn,Midfielder,"[112.2, 38.5]",8.005,48.40438,6.95424,From Throw In,96,Head,False,False,Off T,"[118.7, 39.5]",6.57647,3,0.0890298,0.1643468
England Women's,Millie Bright,Defender,"[113.4, 36.8]",7.47061,48.71924,5.23851,From Corner,57,Head,False,False,Off T,"[118.5, 37.8]",5.19711,7,0.08975217,0.0779207
Australia Women's,Samantha May Kerr,Forward,"[96.1, 48.3]",25.20337,15.71399,18.84363,From Counter,62,Foot,False,False,Goal,"[119.0, 40.9]",24.06595,3,0.057322696,0.179595
Australia Women's,Samantha May Kerr,Forward,"[111.6, 25.3]",17.19186,12.29345,141.97589,From Goal Kick,64,Foot,False,False,Blocked,"[117.9, 35.8]",12.245,1,0.048497766,0.0130673
Australia Women's,Samantha May Kerr,Forward,"[106.8, 41.1]",13.22422,30.89414,16.12427,From Corner,66,Head,False,False,Saved,"[118.9, 41.2]",12.10041,2,0.046920065,0.0602122
England Women's,Alessia Russo,Forward,"[112.3, 36.4]",8.63134,42.6891,4.97942,From Throw In,69,Head,False,False,Off T,"[119.5, 38.2]",7.42159,2,0.06998927,0.0261445
China PR Women's,Yao Wei,Defender,"[97.5, 26.5]",26.39489,13.55196,158.08826,From Corner,7,Foot,False,True,Blocked,"[117.9, 38.2]",23.51702,1,0.024917025,0.0068378
England Women's,Lauren Hemp,Forward,"[111.3, 31.8]",12.16306,25.32963,7.70579,From Keeper,70,Foot,False,True,Goal,"[113.5, 34.3]",3.33017,2,0.1391206,0.1426006
China PR Women's,Jiahui Lou,Forward,"[109.6, 44.3]",11.14271,34.50061,9.8774,From Free Kick,15,Foot,False,True,Saved Off Target,"[118.4, 42.3]",9.02441,2,0.0851463,0.0393209
England Women's,Georgia Stanway,Midfielder,"[88.9, 51.5]",33.05526,11.91105,26.43072,Regular Play,76,Foot,False,False,Off T,"[118.4, 40.5]",31.48412,0,0.016184913,0.0049702
China PR Women's,Shanshan Wang,Defender,"[115.0, 47.4]",8.68389,30.54849,12.01758,From Corner,20,Head,False,False,Off T,"[119.2, 42.8]",6.22896,3,0.06870191,0.2322342
England Women's,Alessia Russo,Forward,"[91.7, 45.3]",28.7383,14.30356,420.09531,Regular Play,76,Foot,False,False,Blocked,"[119.1, 40.7]",27.78345,1,0.025301231,0.0020005
China PR Women's,Rui Zhang,Midfielder,"[89.1, 26.9]",33.68041,11.40785,30.19552,From Free Kick,22,Foot,False,False,Off T,"[118.4, 39.3]",31.81588,0,0.013821182,0.0118683
England Women's,Millie Bright,Defender,"[111.5, 36.2]",9.43716,39.43099,5.8645,From Corner,77,Head,False,False,Off T,"[119.2, 38.9]",8.15966,5,0.061744574,0.0400376
Haiti Women's,Melchie Daëlle Dumornay,Midfielder,"[110.8, 42.1]",9.37443,42.11786,36.83904,From Free Kick,52,Foot,False,True,Saved,"[117.7, 41.8]",6.90652,4,0.1494506,0.0194946
Australia Women's,Samantha May Kerr,Forward,"[114.1, 37.4]",6.57419,55.37215,11.493,From Throw In,81,Head,True,False,Off T,"[119.6, 39.1]",5.75674,2,0.37368575,0.199238
Haiti Women's,Nérilia Mondesir,Forward,"[112.5, 49.6]",11.94738,22.99871,91.94394,Regular Play,60,Foot,False,True,Blocked,"[117.7, 43.9]",7.71557,1,0.049333736,0.0107601
Australia Women's,Cortnee Brooke Vine,Midfielder,"[105.0, 52.5]",19.33494,16.94199,29.32531,Regular Play,82,Foot,False,False,Saved,"[118.0, 42.8]",16.22005,1,0.061160978,0.0109701
Haiti Women's,Batcheba Louis,Forward,"[115.0, 35.5]",6.93109,46.57233,12.43321,From Corner,61,Head,False,False,Wayward,"[116.4, 43.1]",7.72787,3,0.35409188,0.1341036
South Africa Women's,Kholosa Biyana,Midfielder,"[112.3, 25.0]",17.12834,11.38215,32.32201,From Throw In,5,Foot,False,False,Off T,"[118.8, 37.4]",14.00036,0,0.032486435,0.0241313
Australia Women's,Mary Boio Fowler,Midfielder,"[97.8, 51.8]",25.0018,14.87767,190.74132,From Throw In,83,Foot,False,False,Blocked,"[119.3, 40.7]",24.19628,3,0.032366898,0.0032793
China PR Women's,Lina Yang,Midfielder,"[87.9, 52.3]",34.26967,11.44127,23.8817,Regular Play,66,Foot,False,False,Saved,"[118.4, 40.1]",32.84951,1,0.005872792,0.005318
Sweden Women's,Refiloe Jane,Midfielder,"[76.6, 53.4]",45.33398,8.84397,20.16316,From Throw In,15,Foot,False,False,Off T,"[117.6, 41.5]",42.69204,0,0.007656268,0.0917999
Australia Women's,Samantha May Kerr,Forward,"[114.1, 42.5]",6.29682,58.70418,11.695,From Corner,84,Foot,False,True,Off T,"[118.1, 39.0]",5.31507,5,0.24993216,0.2455339
Haiti Women's,Melchie Daëlle Dumornay,Midfielder,"[104.0, 44.2]",16.46845,24.43136,128.63866,Regular Play,67,Foot,False,True,Blocked,"[116.8, 42.2]",12.95531,2,0.06765752,0.0089858
Sweden Women's,Ingrid Filippa Angeldal,Midfielder,"[95.5, 41.1]",24.51306,16.97546,19.78292,From Free Kick,19,Foot,False,True,Saved,"[118.2, 40.5]",22.70793,0,0.04114604,0.013174
England Women's,Alessia Russo,Forward,"[109.8, 52.3]",15.74929,17.6511,13.71514,From Counter,85,Foot,False,True,Goal,"[117.7, 43.6]",11.7516,0,0.122612506,0.4901383
