driverId,raceId,milliseconds,year,name,driverRef,constructorId,constructorRef,rank
844,1101,109483.39215686274,2023,Azerbaijan Grand Prix,leclerc,6.0,ferrari,3.0
4,1101,109499.2156862745,2023,Azerbaijan Grand Prix,alonso,117.0,aston_martin,4.0
832,1101,109959.35294117648,2023,Azerbaijan Grand Prix,sainz,6.0,ferrari,5.0
1,1101,109972.17647058824,2023,Azerbaijan Grand Prix,hamilton,131.0,mercedes,6.0
840,1101,110079.4705882353,2023,Azerbaijan Grand Prix,stroll,117.0,aston_martin,7.0
847,1101,110523.05882352941,2023,Azerbaijan Grand Prix,russell,131.0,mercedes,8.0
856,1101,110627.0,2023,Azerbaijan Grand Prix,de_vries,213.0,alphatauri,9.0
846,1101,110643.37254901961,2023,Azerbaijan Grand Prix,norris,1.0,mclaren,10.0
852,1101,110711.72549019608,2023,Azerbaijan Grand Prix,tsunoda,213.0,alphatauri,11.0
857,1101,110763.4705882353,2023,Azerbaijan Grand Prix,piastri,1.0,mclaren,12.0
848,1101,110805.07843137255,2023,Azerbaijan Grand Prix,albon,3.0,williams,13.0
825,1101,110826.76470588235,2023,Azerbaijan Grand Prix,kevin_magnussen,210.0,haas,14.0
842,1101,110858.19607843137,2023,Azerbaijan Grand Prix,gasly,214.0,alpine,15.0
839,1101,110984.90196078431,2023,Azerbaijan Grand Prix,ocon,214.0,alpine,16.0
858,1101,111046.64705882352,2023,Azerbaijan Grand Prix,sargeant,3.0,williams,17.0
807,1101,111447.46,2023,Azerbaijan Grand Prix,hulkenberg,210.0,haas,18.0
822,1101,111630.68,2023,Azerbaijan Grand Prix,bottas,51.0,alfa,19.0
855,1101,112844.61111111111,2023,Azerbaijan Grand Prix,zhou,51.0,alfa,20.0
830,1102,92249.84210526316,2023,Miami Grand Prix,max_verstappen,9.0,red_bull,1.0
815,1102,92344.29824561403,2023,Miami Grand Prix,perez,9.0,red_bull,2.0
4,1102,92711.33333333333,2023,Miami Grand Prix,alonso,117.0,aston_martin,3.0
847,1102,92832.80701754386,2023,Miami Grand Prix,russell,131.0,mercedes,4.0
832,1102,92907.9298245614,2023,Miami Grand Prix,sainz,6.0,ferrari,5.0
1,1102,93148.94736842105,2023,Miami Grand Prix,hamilton,131.0,mercedes,6.0
844,1102,93179.45614035087,2023,Miami Grand Prix,leclerc,6.0,ferrari,7.0
842,1102,93226.50877192983,2023,Miami Grand Prix,gasly,214.0,alpine,8.0
839,1102,93269.54385964913,2023,Miami Grand Prix,ocon,214.0,alpine,9.0
825,1102,93354.14035087719,2023,Miami Grand Prix,kevin_magnussen,210.0,haas,10.0
852,1102,93378.0701754386,2023,Miami Grand Prix,tsunoda,213.0,alphatauri,11.0
840,1102,93385.87719298246,2023,Miami Grand Prix,stroll,117.0,aston_martin,12.0
822,1102,93506.63157894737,2023,Miami Grand Prix,bottas,51.0,alfa,13.0
848,1102,93528.1052631579,2023,Miami Grand Prix,albon,3.0,williams,14.0
807,1102,93564.75438596492,2023,Miami Grand Prix,hulkenberg,210.0,haas,15.0
