qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
10022,1118,857,1,81,10,01:10:05,01:10:03,00:00:00
10023,1118,807,210,27,11,01:10:05,01:10:05,00:00:00
10024,1118,839,214,31,12,01:10:08,01:10:06,00:00:00
10025,1118,842,214,10,13,01:10:08,01:10:06,00:00:00
10026,1118,825,210,20,14,01:10:06,01:10:07,00:00:00
10027,1118,848,3,23,15,01:10:06,01:10:08,00:00:00
10028,1118,852,213,22,16,01:10:08,00:00:00,00:00:00
10029,1118,817,213,3,17,01:10:08,00:00:00,00:00:00
10030,1118,822,51,77,18,01:11:00,00:00:00,00:00:00
10031,1118,858,3,2,19,01:11:00,00:00:00,00:00:00
10032,1118,855,51,24,20,01:11:03,00:00:00,00:00:00
10033,1119,844,6,16,1,01:33:06,01:32:08,01:32:07
10034,1119,832,6,55,2,01:33:09,01:33:03,01:32:08
10035,1119,830,9,1,3,01:34:02,01:33:06,01:33:01
10036,1119,847,131,63,4,01:34:01,01:33:04,01:33:01
10037,1119,842,214,10,5,01:34:03,01:33:05,01:33:02
10038,1119,848,3,23,6,01:34:06,01:33:06,01:33:03
10039,1119,858,3,2,7,01:34:05,01:33:07,01:33:05
10040,1119,822,51,77,8,01:34:03,01:33:08,01:33:05
10041,1119,825,210,20,9,01:34:03,01:33:07,01:33:05
10042,1119,4,117,14,10,01:34:04,01:33:06,01:33:06
10043,1119,1,131,44,11,01:34:03,01:33:08,00:00:00
10044,1119,815,9,11,12,01:34:06,01:33:09,00:00:00
10045,1119,807,210,27,13,01:34:03,01:34:00,00:00:00
10046,1119,840,117,18,14,01:34:05,01:34:02,00:00:00
10047,1119,817,213,3,15,01:34:07,01:34:03,00:00:00
10048,1119,846,1,4,16,01:34:07,00:00:00,00:00:00
10049,1119,839,214,31,17,01:34:08,00:00:00,00:00:00
10050,1119,855,51,24,18,01:34:08,00:00:00,00:00:00
10051,1119,857,1,81,19,01:34:09,00:00:00,00:00:00
10052,1119,852,213,22,20,01:36:04,00:00:00,00:00:00
10053,1120,830,9,1,1,01:24:02,01:23:07,01:23:04
10054,1120,844,6,16,2,01:24:05,01:24:00,01:23:06
10055,1120,857,1,81,3,01:24:05,01:24:03,01:23:08
10056,1120,847,131,63,4,01:24:03,01:24:00,01:23:08
10057,1120,846,1,4,5,01:24:04,01:23:09,01:23:08
10058,1120,852,213,22,6,01:24:03,01:24:02,01:24:00
10059,1120,4,117,14,7,01:24:05,01:24:01,01:24:01
10060,1120,807,210,27,8,01:24:04,01:24:02,01:24:01
10061,1120,815,9,11,9,01:24:02,01:24:01,01:24:02
10062,1120,842,214,10,10,01:24:06,01:24:01,01:24:05
10063,1120,1,131,44,11,01:24:04,01:24:04,
10064,1120,839,214,31,12,01:24:06,01:24:04,
10065,1120,840,117,18,13,01:24:04,01:24:04,
10066,1120,848,3,23,14,01:24:03,01:24:04,
10067,1120,817,213,3,15,01:24:05,01:24:04,
10068,1120,832,6,55,16,01:24:07,,
10069,1120,825,210,20,17,01:24:08,,
10070,1120,822,51,77,18,01:24:08,,
10071,1120,855,51,24,19,01:25:02,,
10072,1120,858,3,2,20,00:00:00,00:00:00,00:00:00
10073,1121,830,9,1,1,01:30:00,01:29:04,01:29:02
10074,1121,844,6,16,2,01:30:02,01:29:02,01:29:04
10075,1121,847,131,63,3,01:30:04,01:29:09,01:29:05
10076,1121,832,6,55,4,01:29:09,01:29:06,01:29:05
10077,1121,815,9,11,5,01:30:02,01:29:09,01:29:05
10078,1121,4,117,14,6,01:30:02,01:29:08,01:29:05
10079,1121,846,1,4,7,01:30:01,01:29:09,01:29:06
10080,1121,857,1,81,8,01:30:05,01:30:01,01:29:07
10081,1121,1,131,44,9,01:30:05,01:29:07,01:29:07
10082,1121,807,210,27,10,01:30:06,01:29:09,01:30:05
10083,1121,852,215,22,11,01:30:05,01:30:01,00:00:00
10084,1121,840,117,18,12,01:30:00,01:30:02,00:00:00
10085,1121,848,3,23,13,01:30:04,01:30:02,00:00:00
10086,1121,817,215,3,14,01:30:06,01:30:03,00:00:00
10087,1121,825,210,20,15,01:30:06,01:30:05,00:00:00
10088,1121,822,15,77,16,01:30:08,00:00:00,00:00:00
10089,1121,855,15,24,17,01:30:08,00:00:00,00:00:00
10090,1121,858,3,2,18,01:30:08,00:00:00,00:00:00
10091,1121,839,214,31,19,01:30:08,00:00:00,00:00:00
10092,1121,842,214,10,20,01:30:09,00:00:00,00:00:00
10093,1122,830,9,1,1,01:28:02,01:28:00,01:27:05
10094,1122,844,6,16,2,01:28:03,01:28:01,01:27:08
10095,1122,815,9,11,3,01:28:06,01:28:05,01:27:08
10096,1122,4,117,14,4,01:28:07,01:28:01,01:27:08
10097,1122,857,1,81,5,01:28:08,01:28:03,01:28:01
10098,1122,846,1,4,6,01:28:08,01:28:05,01:28:01
10099,1122,847,131,63,7,01:28:07,01:28:04,01:28:03
10100,1122,1,131,44,8,01:29:00,01:28:06,01:28:05
10101,1122,852,215,22,9,01:29:00,01:28:06,01:28:05
10102,1122,840,117,18,10,01:28:03,01:28:06,01:28:06
10103,1122,832,6,38,11,01:29:00,01:28:06,
10104,1122,848,3,23,12,01:29:01,01:29:00,
