raceId,adjusted_avg_laptime,year,DPS,driverRef,driverId,constructorRef,rank,inverse_adjustment_factor,avg_laptime,name
1102,92636.38744,2023,7,de_vries,856,alphatauri,14,0.987485779,93810.35088,Miami Grand Prix
1102,92641.10636,2023,6,sainz,832,ferrari,15,0.997128087,92907.92982,Miami Grand Prix
1102,92683.83088,2023,5,hulkenberg,807,haas,16,0.990584879,93564.75439,Miami Grand Prix
1102,92691.59141,2023,4,zhou,855,alfa,17,0.99001996,93625.98246,Miami Grand Prix
1102,92911.85288,2023,3,leclerc,844,ferrari,18,0.997128087,93179.45614,Miami Grand Prix
1102,93083.77759,2023,2,piastri,857,mclaren,19,0.987485779,94263.41071,Miami Grand Prix
1102,93488.03362,2023,1,sargeant,858,williams,20,0.989173789,94511.23214,Miami Grand Prix
1104,80473.17577,2023,20,stroll,840,aston_martin,1,0.99617125,80782.4717,Monaco Grand Prix
1104,82788.74611,2023,19,max_verstappen,830,red_bull,2,0.988601036,83743.33333,Monaco Grand Prix
1104,83779.292,2023,18,alonso,4,aston_martin,3,0.99617125,84101.29487,Monaco Grand Prix
1104,83892.37819,2023,17,hamilton,1,mercedes,4,0.995824635,84244.12821,Monaco Grand Prix
1104,83974.71855,2023,16,bottas,822,alfa,5,0.98553719,85207.05195,Monaco Grand Prix
1104,83982.81131,2023,15,ocon,839,alpine,6,0.997212544,84217.5641,Monaco Grand Prix
1104,84048.41625,2023,14,russell,847,mercedes,7,0.995824635,84400.82051,Monaco Grand Prix
1104,84148.5987,2023,13,norris,846,mclaren,8,0.991340492,84883.64935,Monaco Grand Prix
1104,84276.03101,2023,12,piastri,857,mclaren,9,0.991340492,85012.19481,Monaco Grand Prix
1104,84307.18665,2023,11,gasly,842,alpine,10,0.997212544,84542.84615,Monaco Grand Prix
1104,84523.66277,2023,10,zhou,855,alfa,11,0.98553719,85764.05195,Monaco Grand Prix
1104,84536.79487,2023,9,leclerc,844,ferrari,12,1,84536.79487,Monaco Grand Prix
1104,84556.03846,2023,8,sainz,832,ferrari,13,1,84556.03846,Monaco Grand Prix
1104,84910.22976,2023,7,albon,848,williams,14,0.98894264,85859.61039,Monaco Grand Prix
1104,84951.94857,2023,6,de_vries,856,alphatauri,15,0.992715921,85575.28571,Monaco Grand Prix
1104,85157.13028,2023,5,hulkenberg,807,haas,16,0.983505155,86585.34211,Monaco Grand Prix
1104,85419.61293,2023,4,tsunoda,852,alphatauri,17,0.992715921,86046.38158,Monaco Grand Prix
1104,85605.09703,2023,3,perez,815,red_bull,18,0.988601036,86592.15789,Monaco Grand Prix
1104,85946.44139,2023,2,sargeant,858,williams,19,0.98894264,86907.40789,Monaco Grand Prix
1104,86503.47932,2023,1,kevin_magnussen,825,haas,20,0.983505155,87954.27143,Monaco Grand Prix
1105,79968.78788,2023,20,max_verstappen,830,red_bull,1,1,79968.78788,Spanish Grand Prix
1105,80058.20027,2023,19,hamilton,1,mercedes,2,0.996569468,80333.78788,Spanish Grand Prix
1105,80109.65237,2023,18,sainz,832,ferrari,3,0.993162393,80661.18182,Spanish Grand Prix
1105,80180.07483,2023,17,tsunoda,852,alphatauri,4,0.989441417,81035.69697,Spanish Grand Prix
1105,80183.51133,2023,16,russell,847,mercedes,5,0.996569468,80459.5303,Spanish Grand Prix
1105,80271.37878,2023,15,albon,848,williams,6,0.983412322,81625.35385,Spanish Grand Prix
1105,80311.40854,2023,14,zhou,855,alfa,7,0.990791269,81057.84848,Spanish Grand Prix
1105,80422.81825,2023,13,de_vries,856,alphatauri,8,0.989441417,81281.03077,Spanish Grand Prix
